Generation,Best,Average,Min
1,5.4,1.9156000000000002,0.0
2,5.8,2.1628000000000003,0.0
3,4.8,2.2206,0.0
4,7.8,2.2251999999999996,0.0
5,6.0,2.3048,0.0
6,4.6,2.3221999999999996,0.0
7,7.2,2.4943999999999997,1.0
8,6.4,2.4968,0.8
9,6.4,2.7018,0.4
10,7.4,2.932,1.2
11,9.8,3.2034000000000002,1.0
12,9.0,3.663,1.4
13,9.2,4.251200000000001,1.4
14,12.2,4.8878,0.8
15,27.6,5.7334,1.2
16,29.0,6.0246,1.6
17,27.0,6.666399999999999,1.8
18,29.8,7.4366,1.4
19,39.2,8.9728,1.4
20,64.8,12.315400000000002,1.2
21,40.6,15.194400000000002,1.4
22,65.0,18.018,1.2
23,93.4,21.3164,1.6
24,57.0,23.919,1.4
25,86.0,26.619799999999998,2.2
26,63.8,29.4406,1.6
27,101.4,32.992,1.6
28,92.0,34.349799999999995,1.8
29,74.8,37.3768,2.8
30,97.2,38.9848,2.4
31,96.2,37.935399999999994,2.2
32,127.6,38.949400000000004,2.2
33,120.0,41.4618,2.4
34,104.0,41.7936,1.6
35,115.2,42.986,1.6
36,138.0,45.42660000000001,2.4
37,145.6,52.424800000000005,1.6
38,170.8,56.686800000000005,2.6
39,142.8,61.47160000000001,1.8
40,151.8,69.34360000000001,2.0
41,206.0,73.65639999999999,1.8
42,179.4,73.098,1.2
43,151.2,72.3846,2.2
44,236.0,75.6462,1.8
45,186.6,74.8178,1.8
46,187.2,74.74419999999999,1.8
47,191.0,80.0986,2.4
48,192.6,79.2852,2.6
49,189.4,80.8652,1.6
50,186.6,82.0192,2.4
51,250.4,81.94679999999998,2.0
52,190.8,83.8596,2.0
53,186.8,84.434,2.0
54,185.4,86.119,2.0
55,206.4,84.9762,3.2
56,190.4,89.16539999999999,2.0
57,219.8,95.8414,2.6
58,213.8,93.33479999999999,2.0
59,247.6,97.52759999999999,2.2
60,220.2,103.633,1.8
