Generation,Best,Average,Min
1,6.333333333333333,2.042666666666667,0.0
2,5.666666666666667,2.262,0.0
3,5.666666666666667,2.207666666666667,0.0
4,9.666666666666666,2.336333333333333,0.6666666666666666
5,5.333333333333333,2.379333333333333,0.0
6,9.333333333333334,2.476666666666667,0.6666666666666666
7,8.666666666666666,2.657,0.6666666666666666
8,10.333333333333334,2.731666666666667,0.6666666666666666
9,10.666666666666666,2.994666666666667,0.0
10,11.333333333333334,3.557666666666667,0.6666666666666666
