Generation,Best,Average,Min
1,5.4,1.9156000000000002,0.0
2,5.8,2.1628000000000003,0.0
3,4.8,2.2206,0.0
4,7.8,2.2251999999999996,0.0
5,6.0,2.3048,0.0
6,4.6,2.3221999999999996,0.0
7,7.2,2.4943999999999997,1.0
8,6.4,2.4968,0.8
9,6.4,2.7018,0.4
10,7.4,2.932,1.2
11,9.8,3.2034000000000002,1.0
12,9.0,3.663,1.4
13,9.2,4.251200000000001,1.4
14,12.2,4.8878,0.8
15,27.6,5.7334,1.2
16,29.0,6.0246,1.6
17,27.0,6.666399999999999,1.8
18,29.8,7.4366,1.4
19,39.2,8.9728,1.4
20,64.8,12.315400000000002,1.2
21,40.6,15.194400000000002,1.4
22,65.0,18.018,1.2
23,93.4,21.3164,1.6
24,57.0,23.919,1.4
25,86.0,26.619799999999998,2.2
26,63.8,29.4406,1.6
27,101.4,32.992,1.6
28,92.0,34.349799999999995,1.8
29,74.8,37.3768,2.8
30,97.2,38.9848,2.4
